nproyecto,nrecurso
Arch Capital Group Ltd.,35772-86265-BM
Costamare Inc.,1824-45634-BJ
Elenita,56368-66965-BH
La Picarda,75989-94223-DM
Mantos de la Luna,92488-83729-AI
La Pepa,58148-47237-GF
PowerShares Golden Dragon China Portfolio,51145-41502-OL
Refugio,33259-35157-EB
Double Eagle Acquisition Corp.,9045-17240-JN
Randgold Resources Limited,2234-30883-KH
Global Partner Acquisition Corp.,44921-12853-MG
III de Atacama Kozan,63732-78555-LA
Ministro Hales,5737-27462-FA
Navío,85079-21719-LJ
Elenita,52473-49694-HB
Inseego Corp.,78384-21930-AB
Applied DNA Sciences Inc,59845-20101-OO
El Tofo,78267-80032-FA
Lota,70341-92873-MB
"Pinnacle Financial Partners, Inc.",73296-16881-GG
Ministro Hales,32343-11331-KK
"Gabelli Equity Trust, Inc. (The)",77855-1951-GA
"CenterPoint Energy, Inc.",47530-9559-FD
Alliance National Municipal Income Fund Inc,84476-5661-LM
"UMH Properties, Inc.",55099-45569-JB
"Avon Products, Inc.",3324-86975-JK
Garrison Capital Inc.,31243-72454-FD
Guanaco,45495-84221-NM
"India Fund, Inc. (The)",91485-61915-FI
"Nustar GP Holdings, LLC",18308-53039-FL
Pullalli,67981-11940-HG
First Trust Emerging Markets Small Cap AlphaDEX Fund,24175-90853-HF
Forum Merger Corporation,28011-3665-DH
First Trust Nasdaq Retail ETF,77322-89935-DF
"NextEra Energy, Inc.",43247-1668-DK
"Safe Bulkers, Inc",1148-10794-DA
"Texas Capital Bancshares, Inc.",14539-27533-BA
"Nustar GP Holdings, LLC",62188-67348-EM
ENGlobal Corporation,63467-37573-EA
"CatchMark Timber Trust, Inc.",57523-86496-FE
El Peñón,40010-37629-DL
"Urban One, Inc. ",21764-12985-DE
"Chegg, Inc.",77796-49092-KD
"FSB Bancorp, Inc.",67431-36191-BH
Cerro Casale,77227-24864-LB
Lenga,65309-65683-MH
Collahuasi,72028-93317-BO
AGCO Corporation,68899-24583-GK
Yelp Inc.,96029-78759-GF
RenaissanceRe Holdings Ltd.,28116-16147-LD
La Coipa,54686-64797-IJ
China Cord Blood Corporation,72114-20268-HF
"support.com, Inc.",41429-63176-FO
"SolarEdge Technologies, Inc.",40844-46316-MB
E*TRADE Financial Corporation,55573-13722-LF
"CatchMark Timber Trust, Inc.",25328-99835-ME
"Pinnacle Financial Partners, Inc.",44358-43256-IG
Check-Cap Ltd.,70284-64033-BN
Peapack-Gladstone Financial Corporation,24553-66522-HB
"Cogentix Medical, Inc.",7411-87745-BH
Moog Inc.,3410-40832-GG
Las Luces,84926-60272-HI
El Peñón,48506-27291-BO
United Insurance Holdings Corp.,76140-74912-LM
Mantos de la Luna,5363-70715-FG
Incyte Corporation,98781-58097-FL
Incyte Corporation,48198-10059-LN
Punta de Lobos - Kanita,82333-25664-KA
El Toqui,84181-31364-DJ
Pascua,19740-11398-JF
Las Piedras,53794-49208-FE
Entegra Financial Corp.,63041-76200-KE
KT Corporation,27558-97896-MH
"HD Supply Holdings, Inc.",19400-22552-EA
"Tootsie Roll Industries, Inc.",66731-10398-IH
"Western Refining Logistics, LP",50819-3923-GB
Andes Travertine,53106-26806-DK
Pure Cycle Corporation,20822-98900-DE
Blackstone GSO Long Short Credit Income Fund,59543-31885-JF
Andina,7372-25114-BO
Inseego Corp.,43595-98817-KB
"Sarepta Therapeutics, Inc.",67637-290-HG
"Blackhawk Network Holdings, Inc.",27332-67175-OE
"Midland States Bancorp, Inc.",38959-78460-OO
Tres Valles,50440-18717-FH
La Pepa,84308-93547-IK
BLDRS Developed Markets 100 ADR Index Fund,98702-49683-LB
La Coipa,19250-76150-MB
"SolarEdge Technologies, Inc.",20371-64156-KG
Maganeso III de Atacama,98601-97497-BJ
SQM Salar,19979-86577-LB
CMP - Algarrobo,75779-61760-IG
TICC Capital Corp.,10450-95625-BA
"Destination XL Group, Inc.",68952-61557-NL
"Commercial Vehicle Group, Inc.",89186-67653-AB
Nuveen Floating Rate Income Fund,60002-47546-OI
Delta,17134-46286-HB
Celite - Carol,39470-42530-DO
El Toqui,75917-23629-LI
"Entergy Louisiana, Inc.",88432-9709-LI
"Rush Enterprises, Inc.",80433-35782-IB
Zaldívar,89846-6830-IA
Eaton Vance Corporation,18860-71545-FJ
KT Corporation,54772-43224-DI
Jerónimo,67566-76544-FB
Manto Verde,16071-28916-DI
"Forterra, Inc.",13925-20248-MD
Los Pelambres,73230-81104-BN
Cohen & Steers Reit and Preferred Income Fund Inc,97717-99643-GE
Ojos del Salado,66420-12625-FL
La Productora,95141-87854-IO
Salesforce.com Inc,11994-46475-EF
Algorta,33795-22195-LK
Special Opportunities Fund Inc.,52051-1088-GJ
First Trust Senior Loan Fund ETF,4237-63381-JD
Guaranty Bancorp,95122-10906-NF
"Under Armour, Inc.",28606-18974-HH
Maganeso III de Atacama,67289-6025-GM
"Dynex Capital, Inc.",25177-11931-ML
RenaissanceRe Holdings Ltd.,84407-28677-ND
Terreno Realty Corporation,55346-7687-LE
Kopin Corporation,83328-25430-BI
Talcuna,56142-79272-JB
Pirquitas,73576-68570-JA
Navío,45498-48198-MI
Bronce de Petorca,74612-53827-KE
Virco Manufacturing Corporation,37566-80250-NG
"Under Armour, Inc.",23224-57535-BH
"XO Group, Inc.",93198-11750-FJ
San José,24652-12884-HE
Nabriva Therapeutics AG,77359-24522-MA
Nuveen Energy MLP Total Return Fund,39633-36919-DG
CoreSite Realty Corporation,85746-34719-ML
Westpac Banking Corporation,59924-66480-MA
"Herman Miller, Inc.",33963-83488-DB
iShares MSCI EM ESG Optimized ETF,34105-83140-FI
Yelp Inc.,84624-95485-BN
Elkhorn Commodity Rotation Strategy ETF,96344-8692-GJ
Marine Petroleum Trust,73839-46362-NG
"The Travelers Companies, Inc.",81033-56440-JN
Isla Riesco,45910-66302-JG
"FSB Bancorp, Inc.",68551-94217-NH
Check-Cap Ltd.,63439-49232-NJ
"RiverNorth Opportunities Fund, Inc.",17218-3333-DE
"Ulta Beauty, Inc.",43877-81192-MO
Manto Verde,14264-6107-IG
"Littelfuse, Inc.",4887-27033-HG
Lomas Bayas,36659-76299-HN
Dynatronics Corporation,33872-60429-BL
El Tofo,68765-97343-EJ
Incyte Corporation,3914-87579-BM
III de Atacama Minerals - Aguas Blancas,84790-49251-JA
iPath US Treasury Long Bond Bear ETN,13875-89340-FE
U.S. Energy Corp.,58223-94706-BH
Manantial,85726-14849-JD
Radomiro Tomic,73585-11268-NM
PureFunds ETFx HealthTech ETF,26177-44960-HO
"XO Group, Inc.",38153-32454-BI
"Hub Group, Inc.",85638-75092-KE
Galectin Therapeutics Inc.,96892-76266-NB
"Xenia Hotels & Resorts, Inc.",75907-12066-IN
Cabot Corporation,8401-14067-BI
Andina,31854-71270-IL
"ILG, Inc",45490-82351-NB
"Urban One, Inc. ",94360-23752-MI
Salesforce.com Inc,71201-50701-IG
Aircastle Limited,26692-43209-KM
La Coipa,24477-70094-GB
"Kayne Anderson Energy Total Return Fund, Inc.",3616-45549-DO
Cohen & Steers Reit and Preferred Income Fund Inc,28871-15862-JH
First Trust South Korea AlphaDEX Fund,65173-82752-HB
"Kura Oncology, Inc.",18304-6228-MI
Northern Trust Corporation,23646-99657-GE
"Cleveland BioLabs, Inc.",53351-21932-FB
"Xenia Hotels & Resorts, Inc.",77791-49908-DL
Elkhorn Commodity Rotation Strategy ETF,12313-11066-IJ
"Arista Networks, Inc.",75689-74133-DM
"ILG, Inc",35086-66303-BM
Great Plains Energy Inc,25227-84487-BI
PureFunds ETFx HealthTech ETF,51256-44366-BB
Chuquicamata,71583-28305-LH
Tekla Healthcare Opportunies Fund,98201-79753-FG
Sierra Gorda,82307-18855-BA
Forum Merger Corporation,71284-22515-OE
El Volcán,71276-13525-JD
"Waste Management, Inc.",6577-57542-OG
Moog Inc.,40917-6964-BB
SL Green Realty Corporation,48114-90358-EN
CMP - Cerro Negro Norte,17102-23288-HB
Bronce de Petorca,68918-57912-GB
"SeaChange International, Inc.",19993-52612-GL
Del Fierro,83369-3365-JE
Caserones,94892-81966-DA
Las Pataguas,99181-74573-AM
Apollo Senior Floating Rate Fund Inc.,67094-92177-DB
"Safe Bulkers, Inc",33176-67635-IG
Refugio,71726-16793-MO
Elenita,89209-82792-GG
Dynatronics Corporation,23698-41912-EB
China Cord Blood Corporation,94686-12880-JJ
Coirón,1142-80348-HM
Maganeso III de Atacama,31063-62126-OE
Cerro Imán,81897-65782-KJ
"MasTec, Inc.",88800-19491-FI
Azul S.A.,11870-42529-AA
Envision Healthcare Corporation,50889-85018-BA
iPath US Treasury Long Bond Bear ETN,29271-34880-HE
"Hub Group, Inc.",69743-7721-BA
Caleta El Cobre,96847-40200-KK
First Trust International Multi-Asset Diversified Income Index,73842-357-JO
Julia,13156-98249-DH
CoreSite Realty Corporation,51096-13472-LF
Novelion Therapeutics Inc.,67007-56250-JH
United Microelectronics Corporation,16808-22762-FB
"Silicon Laboratories, Inc.",28677-50841-KI
"UMH Properties, Inc.",35728-11787-GG
"The Chefs' Warehouse, Inc.",73840-13966-MA
Ministro Hales,3018-84316-NB
"Appliance Recycling Centers of America, Inc.",28160-10355-BB
Diageo plc,77230-93419-AL
Voya Global Equity Dividend and Premium Opportunity Fund,88832-93836-JJ
Old Republic International Corporation,27992-2757-ON
Radomiro Tomic,70031-59855-IJ
Cosayach - Soledad,84372-2923-IH
Caleta El Cobre,76931-5214-AM
Comcast Corporation,7431-8369-MB
El Abra,53863-41724-NB
Diageo plc,50791-28315-OG
BlackRock Municipal Target Term Trust Inc. (The),76406-59519-BM
"UMH Properties, Inc.",67445-48695-JE
"Sarepta Therapeutics, Inc.",93227-61747-NM
KT Corporation,19016-59671-HB
"Avon Products, Inc.",47258-32695-BO
Incyte Corporation,50246-7780-HB
"Investors Bancorp, Inc.",21251-61381-IO
Corporate Asset Backed Corp CABCO,98218-44434-BG
El Volcán,51880-18412-LE
Great Plains Energy Inc,70442-1593-GF
"HCA Healthcare, Inc.",74753-84949-MF
Kilroy Realty Corporation,16386-64434-FD
Abeona Therapeutics Inc.,27703-16581-OK
El Toqui,27429-41375-HF
"Idera Pharmaceuticals, Inc.",95482-15399-ED
PowerShares BuyBack Achievers Portfolio,41222-6134-KK
La Perla,91752-47554-EJ
Nuveen Michigan Quality Municipal Income Fund,49166-20376-NG
"FSB Bancorp, Inc.",53690-68429-LI
Las Piedras,35459-48501-GF
Novanta Inc.,56993-91200-IN
Great Plains Energy Inc,91547-50052-FE
Cerro Blanco,84817-42084-EL
"First Financial Bankshares, Inc.",60060-98242-MF
JM Global Holding Company,79641-77552-EB
HollyFrontier Corporation,1892-41604-LH
"MiMedx Group, Inc",65258-94258-AJ
NVIDIA Corporation,40452-91931-IB
Corporate Asset Backed Corp CABCO,80893-70129-AB
"Diamond Hill Investment Group, Inc.",39586-64853-JF
PowerShares Nasdaq Internet Portfolio,28695-25632-BL
Candelaria,89928-13069-MN
Celite - Tana,21113-91880-BA
"National American University Holdings, Inc.",19414-73362-LE
"Mirna Therapeutics, Inc.",4423-52935-BH
EQT Corporation,85497-28879-FE
Anheuser-Busch Inbev SA,87712-68493-KN
Mackinac Financial Corporation,16115-87774-BD
Randgold Resources Limited,61975-12398-LB
"Meridian Waste Solutions, Inc",29679-61573-BE
"Appliance Recycling Centers of America, Inc.",89231-5190-NM
Quiborax,33995-26323-GI
JM Global Holding Company,31026-57054-LE
"Meridian Waste Solutions, Inc",45354-62296-BM
"Appliance Recycling Centers of America, Inc.",33856-24322-BK
Ceragon Networks Ltd.,16463-49164-FI
CMP - El Laco,65206-86728-JD
"Cyclacel Pharmaceuticals, Inc.",96210-20186-KF
Fair Isaac Corporation,52863-92951-BG
"Avon Products, Inc.",14434-32499-HA
Intracampos,62185-20794-KL
E.I. du Pont de Nemours and Company,29714-28932-MM
El Toqui,41815-69505-KN
NVIDIA Corporation,18834-52204-BN
"LM Funding America, Inc.",43732-54895-OB
Flor de Los Andes,92622-68280-JJ
"Appliance Recycling Centers of America, Inc.",2975-2775-LF
"Clear Channel Outdoor Holdings, Inc.",89934-30496-KG
Enel Generacion Chile S.A.,13022-29175-BB
La Pepa,56720-29828-DG
Cohen & Steers Reit and Preferred Income Fund Inc,82180-2661-DM
"Recon Technology, Ltd.",43738-11041-AD
"Midland States Bancorp, Inc.",93935-10943-NJ
Ojos del Salado,72617-604-MK
"Westbury Bancorp, Inc.",61997-92324-DH
Marte Lobo,90236-38894-JF
STMicroelectronics N.V.,59947-34422-LH
"Meridian Waste Solutions, Inc",21985-94498-HB
"NextEra Energy, Inc.",21688-10623-BG
"Ellie Mae, Inc.",37606-33679-JN
El Peñón,22135-65868-JL
"Universal Stainless & Alloy Products, Inc.",58217-36176-GF
"Vectrus, Inc.",62464-11144-OB
San José,61102-1117-ON
III de Atacama Kozan,79682-73764-II
"NextEra Energy, Inc.",94207-95667-NI
Andacollo Oro,80915-46759-MN
Kraton Corporation,26697-43662-NE
Azul S.A.,99793-67277-JK
Urstadt Biddle Properties Inc.,78536-73343-NE
DRDGOLD Limited,15852-61367-KB
"XO Group, Inc.",5134-82851-BI
Romeral,94454-66270-EB
iShares 20+ Year Treasury Bond ETF,57286-21024-OA
Colico Sur,47791-67674-GJ
"Western New England Bancorp, Inc.",90613-51088-GM
Andina,63392-19428-OE
First Trust Nasdaq Retail ETF,79237-97969-HL
El Teniente,23655-94648-IO
Independence Holding Company,54823-62471-LM
iShares 20+ Year Treasury Bond ETF,10617-79193-LL
Cóndor,67172-23387-ON
"Meridian Waste Solutions, Inc",90101-86663-IL
Cordillera - Tenardita,17684-29307-BB
DRDGOLD Limited,64304-9687-DO
ENGlobal Corporation,31505-39897-FB
First Trust Nasdaq Retail ETF,98156-41967-JB
Cordillera - Tenardita,65256-17405-FB
"Mid-America Apartment Communities, Inc.",15232-6128-FB
Bed Bath & Beyond Inc.,62764-9054-BM
Cummins Inc.,21654-7072-FH
Independence Holding Company,44111-57036-BE
Eaton Vance Corporation,28151-99975-EF
Entegra Financial Corp.,67158-72164-AD
"Adams Diversified Equity Fund, Inc.",56888-5394-BI
Texas Pacific Land Trust,32522-67501-JB
Northern Trust Corporation,17855-6642-KD
"SolarEdge Technologies, Inc.",49640-23950-HF
"Cleveland BioLabs, Inc.",59882-72721-NL
Don Alberto,20858-76441-IM
Fertón,57744-57313-BF
Pullalli,22794-31581-DB
Tekla Healthcare Opportunies Fund,45346-33065-MG
Las Pataguas,20123-89579-IN
"Biocept, Inc.",48655-11609-DA
Inacesa - El Way,63295-72984-EB
"HD Supply Holdings, Inc.",16687-56809-NG
"Appliance Recycling Centers of America, Inc.",47282-15217-HD
"Ocular Therapeutix, Inc.",16990-48589-KN
El Abra,15184-33625-DD
Marine Petroleum Trust,78437-14860-LA
PowerShares Nasdaq Internet Portfolio,2425-48739-KI
Cabot Corporation,63198-70268-KO
Franke,76363-47818-BH
Inacesa - El Way,79617-20226-II
Voya Global Equity Dividend and Premium Opportunity Fund,67269-68953-OI
"SolarEdge Technologies, Inc.",71401-74236-OM
Nuveen Energy MLP Total Return Fund,16314-35125-AE
"India Fund, Inc. (The)",98926-98849-IJ
"Recon Technology, Ltd.",42753-59114-GF
"Forterra, Inc.",28365-76825-EB
Cordillera - Tenardita,1469-32714-HM
"International Seaways, Inc.",73219-26974-GE
"FSB Bancorp, Inc.",9793-27716-KB
Dos Amigos,83218-93402-OI
Cowen Inc.,58073-58355-OA
Michilla,31605-68821-FB
"Ashford Hospitality Prime, Inc.",99710-84230-JA
Pure Cycle Corporation,75679-24149-EJ
SQM - Yumbes,31268-62966-DB
III de Atacama Kozan,79254-57681-HN
China Mobile (Hong Kong) Ltd.,78711-59458-AB
Johnson & Johnson,26023-30958-BE
"Mid-America Apartment Communities, Inc.",69285-64503-OB
Chimberos,66175-11278-JD
Pirquitas,95811-15594-GK
Bright Scholar Education Holdings Limited,32774-3840-GB
Inseego Corp.,52045-51039-MO
HollyFrontier Corporation,34135-44528-GB
"Hurco Companies, Inc.",69771-50478-FN
Manantial,5638-96696-FE
Diana Shipping inc.,1605-29860-AM
Arch Capital Group Ltd.,37248-33533-GD
PowerShares Nasdaq Internet Portfolio,2062-836-GE
Global Partner Acquisition Corp.,45528-86283-MA
El Abra,71295-34990-LK
Vina Concha Y Toro,33631-96405-AE
"Clear Channel Outdoor Holdings, Inc.",43478-21246-GE
Northern Trust Corporation,61171-87469-OH
Cerro Casale,60169-77179-BO
Caserones,17482-69328-BE
"Aspen Technology, Inc.",22351-29314-JD
La Patagua,84529-44725-BI
"Diamond Hill Investment Group, Inc.",76642-55700-GB
BlackRock Municipal Target Term Trust Inc. (The),22024-94476-EN
"Edge Therapeutics, Inc.",72895-35025-NK
"Avon Products, Inc.",1489-44833-BF
SQM - Pampa Blanca,75184-54507-AI
Cowen Inc.,58073-48078-LD
"Sarepta Therapeutics, Inc.",71372-39377-HK
PureFunds ETFx HealthTech ETF,85278-63489-FI
Cowen Inc.,2631-43781-KG
Celite - Tilviche,19461-81331-IA
Caserones,86077-77773-HH
Silicon Motion Technology Corporation,34596-24741-NF
Coirón,68452-35618-GE
Westpac Banking Corporation,82514-45165-AI
"Commercial Vehicle Group, Inc.",31456-75301-MI
"OraSure Technologies, Inc.",41380-48168-OJ
Natl Westminster Pfd,21819-94027-JL
III de Atacama Minerals - Aguas Blancas,4548-83039-EI
"Shutterstock, Inc.",93291-5104-GH
Pirquitas,32888-83244-AO
Hamilton Lane Incorporated,80484-9555-GI
Collahuasi,41506-32518-GB
DRDGOLD Limited,25156-4273-BI
Arenal,48258-77760-OE
Tres Valles,69435-1746-JB
"Portola Pharmaceuticals, Inc.",97344-27807-EK
El Morro,1352-28500-EB
Arenal,55848-84204-KH
Vina Concha Y Toro,82855-53046-KJ
Las Cenizas,54657-3903-IE
"Taiwan Fund, Inc. (The)",32442-72079-AF
Esterline Technologies Corporation,75136-16076-DO
Zion Oil & Gas Inc,85677-2301-GB
Eaton Vance Corporation,5421-94168-FL
Michilla,53707-69828-MM
"Herman Miller, Inc.",80676-13376-BH
"Aspen Technology, Inc.",35530-48609-GI
Cerro Blanco,42444-63816-GH
Patriot National Bancorp Inc.,63054-97670-OG
Forum Merger Corporation,15645-11807-FF
"Financial Engines, Inc.",20904-46601-EB
AGCO Corporation,59412-60208-JK
Isla Guarello,24339-94843-EI
First Trust Multi-Asset Diversified Income Index Fund,18811-63608-MI
Michilla,77949-94-FB
Pupunahue,19278-42185-HI
Novanta Inc.,29958-77405-KI
Ministro Hales,888-99957-FN
Kraton Corporation,29037-98784-ON
Yahoo! Inc.,12664-81420-ME
BRF S.A.,55373-38493-DK
Gladstone Commercial Corporation,44947-96803-NH
Unisys Corporation,70388-91436-DB
Global Partner Acquisition Corp.,611-13050-LA
"Silicon Laboratories, Inc.",26908-1634-LH
Applied DNA Sciences Inc,47670-11613-BJ
Cerro Casale,9564-51153-GA
HollyFrontier Corporation,4059-678-EM
Montecristo,70471-41182-LK
"Shutterstock, Inc.",75392-89847-LJ
"TC PipeLines, LP",51796-17379-BF
"Commerce Bancshares, Inc.",63418-53527-AI
Vina Concha Y Toro,57801-31071-LB
Dollar General Corporation,93586-22384-HB
Maganeso III de Atacama,25122-40487-MN
Envision Healthcare Corporation,4997-89795-LK
"Chegg, Inc.",8733-34128-IB
"Ellie Mae, Inc.",13406-1160-NB
"Chunghwa Telecom Co., Ltd.",91444-537-OJ
ENGlobal Corporation,39114-50507-FB
Mantos Blancos,56851-96512-OE
First Trust Nasdaq Retail ETF,23172-81429-GG
SAP SE,15921-71327-AN
Cerro Bayo,69358-52414-JI
Andina,25231-33032-DI
Western Asset Bond Fund,3816-58742-EO
Inacesa - El Jilguero,99521-38187-KF
AGCO Corporation,99220-91164-FN
El Volcán,84040-42179-BG
"AMC Entertainment Holdings, Inc.",62406-19184-AF
Check-Cap Ltd.,92381-4522-GB
PowerShares KBW High Dividend Yield Financial Portfolio,60847-82307-IO
La Marcelina,18956-68166-BF
Ojos del Salado,41905-90163-ID
United Insurance Holdings Corp.,64554-2476-BL
Natl Westminster Pfd,39137-39579-BH
Cóndor,91013-60135-EN
Alhué,94264-14769-AO
La Marcelina,37989-41887-AB
Catamutún,12037-14707-KB
Gabriela Mistral,30118-48397-DL
III de Atacama Kozan,72472-82574-BL
AGCO Corporation,83408-15698-AN
First Trust Nasdaq Retail ETF,64892-73936-BK
CoreSite Realty Corporation,71945-24397-NN
Janus Henderson Small Cap Growth Alpha ETF,26628-52477-EA
PowerShares Nasdaq Internet Portfolio,3773-52515-KB
Stamps.com Inc.,52283-48871-AH
Cerro Bayo,37234-51807-BM
Peapack-Gladstone Financial Corporation,31782-96182-BG
Janus Henderson Small Cap Growth Alpha ETF,54505-54651-GD
Novanta Inc.,55941-9309-IE
Cabot Corporation,24398-78299-BD
San José,36653-49787-GO
ACF - Lagunas,43160-21881-GF
PureFunds ETFx HealthTech ETF,19555-24425-OB
Envision Healthcare Corporation,24769-33614-OG
Nuveen Floating Rate Income Fund,74841-29424-BB
Marte Lobo,92195-41297-ML
"Portola Pharmaceuticals, Inc.",33039-54908-GL
III de Atacama Minerals - Aguas Blancas,19189-10171-FL
Romeral,62656-68120-DM
Inacesa - El Way,83891-37468-FB
"Kura Oncology, Inc.",83518-23760-GH
SQM - Nueva Victoria,80038-34825-MN
Yelp Inc.,39694-34690-AJ
First Trust Multi-Asset Diversified Income Index Fund,30907-46400-AB
Hamilton Lane Incorporated,24490-35477-HI
Check-Cap Ltd.,82908-38196-JF
HollyFrontier Corporation,47710-91070-FG
Kraton Corporation,83648-70976-NG
"HD Supply Holdings, Inc.",22488-70851-DI
"Chegg, Inc.",89340-22232-HL
Algorta,74983-25250-FK
"Biocept, Inc.",34862-97732-ND
First Trust International Multi-Asset Diversified Income Index,19774-68100-AB
Suncor EnergyInc.,46392-24581-NN
"Ellie Mae, Inc.",96591-89128-AO
Antucoya,17745-42455-LI
Pampa Camarones,68609-58856-LB
Mantos de la Luna,47123-40595-AB
"Evolving Systems, Inc.",89400-20082-NI
Manantial,53886-20119-MO
"Kayne Anderson Energy Total Return Fund, Inc.",20480-13566-BF
"Commercial Vehicle Group, Inc.",17660-48761-AN
Cosayach - Negreiros,40529-81997-BO
"Cogentix Medical, Inc.",68650-90967-AK
Kopin Corporation,4016-60318-FD
"FSB Bancorp, Inc.",83085-95952-FO
"support.com, Inc.",36379-8835-KI
La Picarda,1803-10079-IF
Kite Realty Group Trust,78430-10953-JA
Abeona Therapeutics Inc.,49973-19161-KK
Vanguard Russell 3000 ETF,72642-92062-HK
Silvercrest Asset Management Group Inc.,65039-46011-II
"Midland States Bancorp, Inc.",91377-28555-EI
PureFunds ETFx HealthTech ETF,47428-40066-AJ
"LTC Properties, Inc.",77081-82585-AE
"Dupont Fabros Technology, Inc.",34220-51653-OB
"SeaChange International, Inc.",26991-22437-GL
Dynatronics Corporation,29168-34623-IM
Nuveen Energy MLP Total Return Fund,3540-31643-BG
Punta de Lobos - Kanita,82581-90381-FJ
PrimeEnergy Corporation,46-59970-OJ
Nuveen AMT-Free Municipal Value Fund,30923-58302-EH
Can Can,7549-47188-EG
West Corporation,76950-97725-OK
Laguna Siren,15133-40946-II
Jazz Pharmaceuticals plc,25010-96125-LI
CMP - Boquerón Chañar,46-21555-HD
El Guindo,54215-29688-GB
Arenal,97089-77950-FE
Peabody Energy Corporation,484-49709-BN
Salesforce.com Inc,86888-38442-LD
Lenga,23823-97989-JN
B.O.S. Better Online Solutions,59573-6466-OJ
L.B. Foster Company,78660-775-EL
GlaxoSmithKline PLC,4547-58002-BE
Vina Concha Y Toro,32156-39768-JB
PowerShares KBW High Dividend Yield Financial Portfolio,49454-27017-LI
Entegra Financial Corp.,50826-77712-DI
Jerónimo,10471-9453-KH
"JA Solar Holdings, Co., Ltd.",52769-61526-EJ
"Nutanix, Inc.",34032-33461-NN
Credit Acceptance Corporation,89773-17327-MB
Celgene Corporation,35423-8716-KF
Colico Sur,22293-57540-KI
SCL Chemetall,15296-36577-HE
Nuveen Energy MLP Total Return Fund,49809-35358-NB
Novelion Therapeutics Inc.,45068-80350-OG
First Trust International Multi-Asset Diversified Income Index,55218-93597-OD
PowerShares KBW High Dividend Yield Financial Portfolio,36164-72186-BH
Celite - Carol,79984-25146-EF
Cambrex Corporation,57913-70995-MI
Marte Lobo,43004-5724-AB
Schwager,27046-177-OG
"Sportsman's Warehouse Holdings, Inc.",67100-12683-EK
Jerónimo,84828-56685-AJ
"Diamond Hill Investment Group, Inc.",60907-72648-MN
Esperanza,73554-70115-JO
Sierra Miranda,46008-57270-HI
PTC Inc.,92979-21396-AN
Gabriela Mistral,15911-7756-KE
Kopin Corporation,29418-2192-NL
"Financial Engines, Inc.",25981-30503-AM
"Arista Networks, Inc.",78511-87516-EG
E*TRADE Financial Corporation,13056-82005-BE
Central Garden & Pet Company,61483-66300-AN
Don Alberto,85890-51341-MJ
First Trust South Korea AlphaDEX Fund,54492-25306-IL
"Ashford Hospitality Prime, Inc.",71997-35612-JN
"MiMedx Group, Inc",15277-8208-BF
Guaranty Bancorp,93796-15170-DH
"Destination XL Group, Inc.",31109-8173-IL
"Hurco Companies, Inc.",42372-43730-AE
SAP SE,61071-86365-EG
"Western Refining Logistics, LP",53136-58158-FO
Pascua,45366-82470-AL
Cowen Inc.,53746-37240-OL
"Sportsman's Warehouse Holdings, Inc.",280-42771-FH
CMP - Boquerón Chañar,34835-47022-BA
Cerro Blanco,70508-76927-BE
"HD Supply Holdings, Inc.",21554-91828-FM
Can Can,63586-91610-IN
Las Luces,19478-42881-FD
Isla Guarello,70261-94603-IB
"SolarEdge Technologies, Inc.",88982-54333-EL
"Taiwan Fund, Inc. (The)",44591-4712-AM
Celite - Carol,83604-21189-FO
Data Processing,80675-80412-HE
"Portola Pharmaceuticals, Inc.",42282-17453-JM
Torchmark Corporation,76225-97183-KH
Neff Corporation,65348-87715-LB
Sierra Miranda,84990-13154-FA
Radomiro Tomic,5543-49266-BM
"Avenue Therapeutics, Inc.",99193-38530-KH
Las Pataguas,40885-224-NB
Cordillera - Tenardita,66770-6328-JO
PowerShares Golden Dragon China Portfolio,22307-10147-BJ
"SolarEdge Technologies, Inc.",48694-34496-IG
Jazz Pharmaceuticals plc,49566-49253-NF
Global Partner Acquisition Corp.,33437-60249-GA
Pure Cycle Corporation,3403-65953-OE
Marine Petroleum Trust,94295-60893-OK
"Taiwan Fund, Inc. (The)",23764-94911-OG
III de Atacama Minerals - Aguas Blancas,74238-23835-LA
"Shutterstock, Inc.",49247-69701-HN
"Biocept, Inc.",84020-30777-LI
La Marcelina,559-39658-EH
Fidus Investment Corporation,92574-68652-BK
"Cleveland BioLabs, Inc.",90845-11232-GH
Alliance National Municipal Income Fund Inc,36133-29168-AL
Jerónimo,30367-75626-LB
Western Alliance Bancorporation,7633-35607-EJ
ACF - Lagunas,25366-15919-IL
HollyFrontier Corporation,85518-66746-LK
First Trust Emerging Markets Small Cap AlphaDEX Fund,34961-75116-JB
Manantial,75191-18985-FA
"Nustar GP Holdings, LLC",92976-15757-HE
"Investors Bancorp, Inc.",93742-14204-NM
Bed Bath & Beyond Inc.,25404-18792-BL
The9 Limited,54065-36214-AK
Urstadt Biddle Properties Inc.,49296-82255-OD
Esterline Technologies Corporation,80641-20955-DD
Cambrex Corporation,42103-3771-HN
United Microelectronics Corporation,88752-16669-AM
"Discovery Communications, Inc.",12104-7812-FA
Faride,72253-89639-MI
Dorado,47468-37809-OI
"Nutanix, Inc.",20373-49897-KK
"Clear Channel Outdoor Holdings, Inc.",52258-44896-AH
"Texas Capital Bancshares, Inc.",51238-81485-MA
CMP - Los Colorados,95804-25737-OB
III de Atacama Minerals - Aguas Blancas,74017-95250-HL
